codigo_usuario;Celular;genero;idade;cidade;estado
103555;93707730811;F;32;Icatu;MA
107042;97219842813;M;31;Icatu;MA
10038;11119655102;F;57;Jenipapo dos Vieiras;MA
19169;15193421927;F;36;Jenipapo dos Vieiras;MA
20794;15904915162;F;77;Jenipapo dos Vieiras;MA
23701;17415960984;F;73;Jenipapo dos Vieiras;MA
30766;21887835705;M;61;Jenipapo dos Vieiras;MA
44184;35163247296;M;28;Jenipapo dos Vieiras;MA
51369;42155810805;F;48;Jenipapo dos Vieiras;MA
57747;48485231034;F;26;Jenipapo dos Vieiras;MA
60854;51800362535;M;73;Jenipapo dos Vieiras;MA
78808;69363936601;M;42;Jenipapo dos Vieiras;MA
80562;71547432464;F;24;Jenipapo dos Vieiras;MA
81387;71911082408;M;56;Jenipapo dos Vieiras;MA
83534;73968790980;M;19;Jenipapo dos Vieiras;MA
85067;75539954201;F;15;Jenipapo dos Vieiras;MA
91359;81877127944;F;24;Jenipapo dos Vieiras;MA
101705;91975058452;F;74;Jenipapo dos Vieiras;MA
13795;12458771486;M;45;Lago dos Rodrigues;MA
22412;16733580694;M;52;Lago dos Rodrigues;MA
29339;21235076680;M;25;Lago dos Rodrigues;MA
41594;32501893866;M;50;Lago dos Rodrigues;MA
59854;51371346701;M;31;Lago dos Rodrigues;MA
79922;71266910388;F;78;Lago dos Rodrigues;MA
92577;82992276012;M;20;Lago dos Rodrigues;MA
97612;87867348368;M;35;Lago dos Rodrigues;MA
104520;94658206066;M;75;Lago dos Rodrigues;MA
105850;95959485185;M;64;Lago dos Rodrigues;MA
106679;96784118808;M;52;Lago dos Rodrigues;MA
109064;99191605331;F;59;Lago dos Rodrigues;MA
12011;11711642875;M;27;Marajá do Sena;MA
12781;11936791838;M;78;Marajá do Sena;MA
35736;26705641625;M;68;Marajá do Sena;MA
38361;29313138760;F;77;Marajá do Sena;MA
40110;31536888403;F;21;Marajá do Sena;MA
43232;34199687241;F;68;Marajá do Sena;MA
47996;38736033260;M;30;Marajá do Sena;MA
50027;41417296299;M;44;Marajá do Sena;MA
58440;49227024171;F;49;Marajá do Sena;MA
61725;52499516441;F;26;Marajá do Sena;MA
63057;53761859153;F;21;Marajá do Sena;MA
80622;71575980512;F;29;Marajá do Sena;MA
80992;71742713881;M;75;Marajá do Sena;MA
82256;72713114748;F;59;Marajá do Sena;MA
82408;72839764432;M;19;Marajá do Sena;MA
85455;75879143478;F;77;Marajá do Sena;MA
91984;82425803223;F;21;Marajá do Sena;MA
93185;83598559872;F;44;Marajá do Sena;MA
104144;94321171773;F;65;Marajá do Sena;MA
106249;96397183809;M;43;Marajá do Sena;MA
19887;15481067110;F;53;Miranda do Norte;MA
21969;16526523343;M;62;Miranda do Norte;MA
25423;18308349549;M;61;Miranda do Norte;MA
29837;21471638775;F;69;Miranda do Norte;MA
34772;25756815042;M;42;Miranda do Norte;MA
39305;31179795007;M;34;Miranda do Norte;MA
44786;35658898849;F;38;Miranda do Norte;MA
45431;36333100122;M;53;Miranda do Norte;MA
81699;72211121062;M;44;Miranda do Norte;MA
86304;76719241968;F;31;Miranda do Norte;MA
87953;78409232884;M;31;Miranda do Norte;MA
90321;81431847116;M;77;Miranda do Norte;MA
12795;11940014499;M;59;Nova Olinda do Maranhão;MA
13357;12278469329;F;15;Nova Olinda do Maranhão;MA
22813;16917594182;M;79;Nova Olinda do Maranhão;MA
31093;22166128086;F;77;Nova Olinda do Maranhão;MA
39757;31376705218;M;55;Nova Olinda do Maranhão;MA
50483;41612546901;M;27;Nova Olinda do Maranhão;MA
51999;42702485467;F;25;Nova Olinda do Maranhão;MA
53380;44164368120;M;22;Nova Olinda do Maranhão;MA
60463;51641456928;F;45;Nova Olinda do Maranhão;MA
65096;55736320119;F;69;Nova Olinda do Maranhão;MA
69143;59789414152;M;40;Nova Olinda do Maranhão;MA
78149;68699264684;F;22;Nova Olinda do Maranhão;MA
89395;79814781831;F;70;Nova Olinda do Maranhão;MA
104988;95219137803;F;50;Nova Olinda do Maranhão;MA
105288;95504225384;M;71;Nova Olinda do Maranhão;MA
18800;14923192608;M;33;Pastos Bons;MA
21768;16442781993;F;23;Pastos Bons;MA
21834;16467278270;M;69;Pastos Bons;MA
23131;17151654880;M;24;Pastos Bons;MA
27487;19322596931;F;77;Pastos Bons;MA
31213;22270849432;M;29;Pastos Bons;MA
36073;26999810933;M;72;Pastos Bons;MA
38389;29336922928;F;50;Pastos Bons;MA
39624;31324958878;M;45;Pastos Bons;MA
55739;46462983337;M;62;Pastos Bons;MA
57443;48225580248;M;58;Pastos Bons;MA
80474;71507482478;M;36;Pastos Bons;MA
83984;74471954929;M;58;Pastos Bons;MA
91689;82169593572;M;33;Pastos Bons;MA
94027;84431321954;F;26;Pastos Bons;MA
94783;85180928997;F;62;Pastos Bons;MA
98792;89128893993;M;22;Pastos Bons;MA
100647;91516663979;M;56;Pastos Bons;MA
102112;92427415387;M;21;Pastos Bons;MA
10558;11263722035;M;39;Pindaré-Mirim;MA
12981;11995506577;M;65;Pindaré-Mirim;MA
17190;14197031441;F;49;Pindaré-Mirim;MA
24828;17930251316;F;57;Pindaré-Mirim;MA
28553;19776725995;M;31;Pindaré-Mirim;MA
34834;25813123257;M;55;Pindaré-Mirim;MA
38717;29632592971;F;45;Pindaré-Mirim;MA
40838;31843907349;M;27;Pindaré-Mirim;MA
48856;39604574483;M;37;Pindaré-Mirim;MA
67245;57864748236;F;52;Pindaré-Mirim;MA
67296;57913949093;M;61;Pindaré-Mirim;MA
67305;57919841068;M;47;Pindaré-Mirim;MA
75172;65831836273;M;48;Pindaré-Mirim;MA
76204;66818814938;F;17;Pindaré-Mirim;MA
79358;69859921187;F;35;Pindaré-Mirim;MA
79664;71175002890;M;47;Pindaré-Mirim;MA
81388;71911114014;F;78;Pindaré-Mirim;MA
83313;73759481184;F;55;Pindaré-Mirim;MA
89950;81270215678;F;48;Pindaré-Mirim;MA
92847;83314130335;M;23;Pindaré-Mirim;MA
94494;84816978949;F;15;Pindaré-Mirim;MA
97831;88143851450;M;18;Pindaré-Mirim;MA
99183;89481823322;F;76;Pindaré-Mirim;MA
104608;94742741062;M;40;Pindaré-Mirim;MA
35789;26748779862;M;43;Presidente Juscelino;MA
36283;27304430425;F;75;Presidente Juscelino;MA
36932;27870411385;F;41;Presidente Juscelino;MA
40202;31580140431;F;35;Presidente Juscelino;MA
42165;33146979765;M;40;Presidente Juscelino;MA
53119;43822971399;F;56;Presidente Juscelino;MA
54352;45131254623;F;61;Presidente Juscelino;MA
54806;45551677189;M;66;Presidente Juscelino;MA
57961;48690626414;F;63;Presidente Juscelino;MA
66104;56741322933;F;36;Presidente Juscelino;MA
82861;73370983376;M;69;Presidente Juscelino;MA
83374;73828480864;M;37;Presidente Juscelino;MA
93288;83686227249;F;74;Presidente Juscelino;MA
94847;85232665415;M;47;Presidente Juscelino;MA
106877;96951317197;M;58;Presidente Juscelino;MA
109948;99958027640;M;55;Presidente Juscelino;MA
23986;17535425371;F;53;Rosário;MA
38480;29417075383;F;71;Rosário;MA
39259;31157848682;F;23;Rosário;MA
42899;33802201181;F;21;Rosário;MA
44893;35752690960;M;29;Rosário;MA
46465;37340648314;F;30;Rosário;MA
50277;41523421311;M;46;Rosário;MA
55664;46403617659;M;37;Rosário;MA
59782;51336180355;M;44;Rosário;MA
66388;56994861197;M;25;Rosário;MA
74835;65501305481;F;74;Rosário;MA
76873;67510447724;F;20;Rosário;MA
78642;69221841459;F;65;Rosário;MA
82408;72839764432;M;23;Rosário;MA
83573;74118925235;M;49;Rosário;MA
84362;74784850910;F;17;Rosário;MA
84810;75307137400;M;72;Rosário;MA
86416;76828715461;F;76;Rosário;MA
86676;77164810980;M;49;Rosário;MA
97822;88134796788;F;50;Rosário;MA
99593;89870368098;F;39;Rosário;MA
106720;96819863564;F;20;Rosário;MA
13300;12251789352;F;74;Santa Rita;MA
22985;16983596927;M;72;Santa Rita;MA
23305;17225474180;M;22;Santa Rita;MA
24315;17697225145;M;68;Santa Rita;MA
27504;19331294290;F;80;Santa Rita;MA
41689;32587184453;M;51;Santa Rita;MA
43189;34167106812;F;59;Santa Rita;MA
43271;34243236803;M;63;Santa Rita;MA
44749;35627058200;F;21;Santa Rita;MA
54811;45554897104;F;52;Santa Rita;MA
61835;52601556714;F;23;Santa Rita;MA
69798;61323052549;F;40;Santa Rita;MA
76046;66678917530;F;52;Santa Rita;MA
80961;71731155307;M;27;Santa Rita;MA
90254;81398788201;F;80;Santa Rita;MA
91266;81843630463;F;78;Santa Rita;MA
102175;92480840837;F;48;Santa Rita;MA
25696;18415591936;M;19;São Domingos do Maranhão;MA
27068;19139591148;F;78;São Domingos do Maranhão;MA
27376;19273370161;F;79;São Domingos do Maranhão;MA
30161;21607544426;F;79;São Domingos do Maranhão;MA
41781;32679366167;F;25;São Domingos do Maranhão;MA
45129;35967666946;F;77;São Domingos do Maranhão;MA
47371;38206165489;F;20;São Domingos do Maranhão;MA
51067;41883109730;F;31;São Domingos do Maranhão;MA
53188;43876685845;F;40;São Domingos do Maranhão;MA
62102;52822817991;F;29;São Domingos do Maranhão;MA
62966;53686630268;F;42;São Domingos do Maranhão;MA
66341;56958799540;M;27;São Domingos do Maranhão;MA
71836;62615124561;M;27;São Domingos do Maranhão;MA
78949;69480781921;M;22;São Domingos do Maranhão;MA
82080;72563832730;M;40;São Domingos do Maranhão;MA
82621;73156003857;F;16;São Domingos do Maranhão;MA
83059;73538530963;M;48;São Domingos do Maranhão;MA
85168;75633739369;F;34;São Domingos do Maranhão;MA
90598;81545697846;F;41;São Domingos do Maranhão;MA
90911;81687663639;F;26;São Domingos do Maranhão;MA
18693;14876805040;F;68;São João dos Patos;MA
20673;15849873462;F;70;São João dos Patos;MA
35139;26194077269;F;78;São João dos Patos;MA
